,Server-RSSI-1,Server-RSSI-2,Server-RSSI-3,Server-Distance-1,Server-Distance-2,Server-Distance-3
0,-46.0,-67.0,-57.0,2.86,2.46,0.9
1,-66.0,-77.0,-60.0,2.86,2.46,0.9
2,-66.0,-74.0,-56.0,2.86,2.46,0.9
3,-47.0,-62.0,-56.0,2.86,2.46,0.9
4,-47.0,-63.0,-49.0,2.86,2.46,0.9
5,-47.0,-62.0,-49.0,2.86,2.46,0.9
6,-47.0,-62.0,-49.0,2.86,2.46,0.9
7,-51.0,-61.0,-62.0,2.86,2.46,0.9
8,-50.0,-65.0,-62.0,2.86,2.46,0.9
9,-50.0,-66.0,-62.0,2.86,2.46,0.9
10,-51.0,-65.0,-62.0,2.86,2.46,0.9
11,-50.0,-72.0,-62.0,2.86,2.46,0.9
12,-68.0,-73.0,-55.0,2.86,2.46,0.9
13,-69.0,-72.0,-55.0,2.86,2.46,0.9
14,-69.0,-73.0,-55.0,2.86,2.46,0.9
15,-69.0,-74.0,-55.0,2.86,2.46,0.9
16,-46.0,-62.0,-55.0,2.86,2.46,0.9
17,-46.0,-61.0,-49.0,2.86,2.46,0.9
18,-46.0,-61.0,-49.0,2.86,2.46,0.9
19,-46.0,-61.0,-49.0,2.86,2.46,0.9
20,-48.0,-58.0,-57.0,1.46,2.51,1.7
21,-62.0,-71.0,-62.0,1.46,2.51,1.7
22,-62.0,-71.0,-61.0,1.46,2.51,1.7
23,-47.0,-71.0,-62.0,1.46,2.51,1.7
24,-47.0,-68.0,-60.0,1.46,2.51,1.7
25,-47.0,-68.0,-60.0,1.46,2.51,1.7
26,-47.0,-78.0,-61.0,1.46,2.51,1.7
27,-61.0,-67.0,-58.0,1.46,2.51,1.7
28,-68.0,-59.0,-63.0,1.46,2.51,1.7
29,-63.0,-59.0,-59.0,1.46,2.51,1.7
30,-63.0,-79.0,-58.0,1.46,2.51,1.7
31,-61.0,-59.0,-59.0,1.46,2.51,1.7
32,-47.0,-59.0,-58.0,1.46,2.51,1.7
33,-47.0,-59.0,-55.0,1.46,2.51,1.7
34,-47.0,-59.0,-55.0,1.46,2.51,1.7
35,-47.0,-58.0,-55.0,1.46,2.51,1.7
36,-48.0,-58.0,-56.0,1.46,2.51,1.7
37,-48.0,-58.0,-56.0,1.46,2.51,1.7
38,-48.0,-58.0,-56.0,1.46,2.51,1.7
39,-60.0,-59.0,-56.0,1.46,2.51,1.7
40,-56.0,-63.0,-47.0,1.75,3.3,1.2
41,-46.0,-87.0,-56.0,1.75,3.3,1.2
42,-50.0,-72.0,-56.0,1.75,3.3,1.2
43,-56.0,-82.0,-52.0,1.75,3.3,1.2
44,-47.0,-82.0,-51.0,1.75,3.3,1.2
45,-56.0,-72.0,-51.0,1.75,3.3,1.2
46,-56.0,-72.0,-56.0,1.75,3.3,1.2
47,-56.0,-72.0,-56.0,1.75,3.3,1.2
48,-56.0,-72.0,-49.0,1.75,3.3,1.2
49,-56.0,-72.0,-52.0,1.75,3.3,1.2
50,-56.0,-84.0,-52.0,1.75,3.3,1.2
51,-46.0,-84.0,-51.0,1.75,3.3,1.2
52,-46.0,-66.0,-52.0,1.75,3.3,1.2
53,-46.0,-66.0,-49.0,1.75,3.3,1.2
54,-46.0,-66.0,-49.0,1.75,3.3,1.2
55,-46.0,-72.0,-56.0,1.75,3.3,1.2
56,-56.0,-72.0,-56.0,1.75,3.3,1.2
57,-50.0,-65.0,-56.0,1.75,3.3,1.2
58,-47.0,-65.0,-49.0,1.75,3.3,1.2
59,-51.0,-73.0,-52.0,1.75,3.3,1.2
60,-77.0,-86.0,-73.0,2.29,1.18,2.12
61,-63.0,-65.0,-72.0,2.29,1.18,2.12
62,-63.0,-65.0,-67.0,2.29,1.18,2.12
63,-53.0,-65.0,-51.0,2.29,1.18,2.12
64,-53.0,-65.0,-53.0,2.29,1.18,2.12
65,-53.0,-65.0,-53.0,2.29,1.18,2.12
66,-53.0,-64.0,-53.0,2.29,1.18,2.12
67,-53.0,-64.0,-53.0,2.29,1.18,2.12
68,-62.0,-58.0,-53.0,2.29,1.18,2.12
69,-62.0,-58.0,-55.0,2.29,1.18,2.12
70,-62.0,-58.0,-56.0,2.29,1.18,2.12
71,-61.0,-58.0,-56.0,2.29,1.18,2.12
72,-61.0,-65.0,-56.0,2.29,1.18,2.12
73,-62.0,-65.0,-69.0,2.29,1.18,2.12
74,-61.0,-65.0,-69.0,2.29,1.18,2.12
75,-61.0,-65.0,-69.0,2.29,1.18,2.12
76,-61.0,-64.0,-68.0,2.29,1.18,2.12
77,-53.0,-65.0,-53.0,2.29,1.18,2.12
78,-53.0,-65.0,-53.0,2.29,1.18,2.12
79,-53.0,-64.0,-52.0,2.29,1.18,2.12
80,-53.0,-61.0,-50.0,5.3,2.2,2.16
81,-71.0,-57.0,-65.0,5.3,2.2,2.16
82,-71.0,-61.0,-51.0,5.3,2.2,2.16
83,-71.0,-58.0,-65.0,5.3,2.2,2.16
84,-69.0,-58.0,-64.0,5.3,2.2,2.16
85,-70.0,-69.0,-50.0,5.3,2.2,2.16
86,-69.0,-69.0,-64.0,5.3,2.2,2.16
87,-69.0,-63.0,-50.0,5.3,2.2,2.16
88,-69.0,-68.0,-51.0,5.3,2.2,2.16
89,-57.0,-68.0,-51.0,5.3,2.2,2.16
90,-57.0,-62.0,-51.0,5.3,2.2,2.16
91,-57.0,-62.0,-51.0,5.3,2.2,2.16
92,-57.0,-62.0,-49.0,5.3,2.2,2.16
93,-57.0,-67.0,-50.0,5.3,2.2,2.16
94,-57.0,-67.0,-52.0,5.3,2.2,2.16
95,-57.0,-63.0,-49.0,5.3,2.2,2.16
96,-62.0,-63.0,-49.0,5.3,2.2,2.16
97,-62.0,-63.0,-59.0,5.3,2.2,2.16
98,-73.0,-63.0,-59.0,5.3,2.2,2.16
99,-73.0,-65.0,-59.0,5.3,2.2,2.16
100,-78.0,-52.0,-58.0,3.0,0.5,3.0
101,-82.0,-54.0,-66.0,3.0,0.5,3.0
102,-78.0,-54.0,-64.0,3.0,0.5,3.0
103,-76.0,-53.0,-64.0,3.0,0.5,3.0
104,-76.0,-53.0,-52.0,3.0,0.5,3.0
105,-77.0,-57.0,-60.0,3.0,0.5,3.0
106,-65.0,-53.0,-60.0,3.0,0.5,3.0
107,-64.0,-54.0,-60.0,3.0,0.5,3.0
108,-75.0,-54.0,-53.0,3.0,0.5,3.0
109,-75.0,-52.0,-66.0,3.0,0.5,3.0
110,-75.0,-56.0,-53.0,3.0,0.5,3.0
111,-65.0,-57.0,-53.0,3.0,0.5,3.0
112,-65.0,-56.0,-52.0,3.0,0.5,3.0
113,-66.0,-56.0,-52.0,3.0,0.5,3.0
114,-66.0,-55.0,-66.0,3.0,0.5,3.0
115,-65.0,-56.0,-67.0,3.0,0.5,3.0
116,-69.0,-56.0,-52.0,3.0,0.5,3.0
117,-68.0,-56.0,-67.0,3.0,0.5,3.0
118,-75.0,-52.0,-67.0,3.0,0.5,3.0
119,-75.0,-51.0,-66.0,3.0,0.5,3.0